#ENEMIES 1
NAME: SKELETON HEALTH: 20 SCORES: 20 DAMAGE: 10 AMOUNT: 36
ID: 0, POS_X: 20, POS_Y: 10 
ID: 4, POS_X: 20, POS_Y: 15
ID: 2, POS_X: 20, POS_Y: 17
ID: 3, POS_X: 22, POS_Y: 17
ID: 5, POS_X: 28, POS_Y: 7
ID: 6, POS_X: 32, POS_Y: 8
ID: 7, POS_X: 35, POS_Y: 7
ID: 8, POS_X: 28, POS_Y: 12
ID: 9, POS_X: 37, POS_Y: 14
ID: 10, POS_X: 30, POS_Y: 16
ID: 11, POS_X: 39, POS_Y: 8
ID: 12, POS_X: 43, POS_Y: 11
ID: 13, POS_X: 39, POS_Y: 16
ID: 14, POS_X: 59, POS_Y: 8
ID: 15, POS_X: 53, POS_Y: 12
ID: 16, POS_X: 55, POS_Y: 21
ID: 17, POS_X: 55, POS_Y: 21
ID: 18, POS_X: 8, POS_Y: 26
ID: 19, POS_X: 11, POS_Y: 29
ID: 20, POS_X: 12, POS_Y: 32
ID: 21, POS_X: 11, POS_Y: 37
ID: 22, POS_X: 15, POS_Y: 40
ID: 23, POS_X: 20, POS_Y: 39
ID: 24, POS_X: 26, POS_Y: 32
ID: 25, POS_X: 33, POS_Y: 24
ID: 26, POS_X: 36, POS_Y: 27
ID: 27, POS_X: 39, POS_Y: 28
ID: 28, POS_X: 41, POS_Y: 32
ID: 29, POS_X: 50, POS_Y: 30
ID: 30, POS_X: 52, POS_Y: 30
ID: 31, POS_X: 54, POS_Y: 30
ID: 32, POS_X: 49, POS_Y: 40
ID: 33, POS_X: 51, POS_Y: 40
ID: 34, POS_X: 53, POS_Y: 40
ID: 35, POS_X: 55, POS_Y: 40
ID: 36, POS_X: 28, POS_Y: 24
